Symbol	ETF Name	Industry
QQQ	Invesco QQQ Trust Series I	Broad Technology
VGT	Vanguard Information Technology ETF	Broad Technology
XLK	Technology Select Sector SPDR Fund	Broad Technology
IYW	iShares U.S. Technology ETF	Broad Technology
SMH	VanEck Semiconductor ETF	Semiconductors
SOXX	iShares Semiconductor ETF	Semiconductors
ARKK	ARK Innovation ETF	Broad Technology
FTEC	Fidelity MSCI Information Technology Index ETF	Broad Technology
SOXL	Direxion Daily Semiconductor Bull 3x Shares	Semiconductors
IGV	iShares Expanded Tech-Software Sector ETF	Software
KWEB	KraneShares CSI China Internet ETF	Internet
CIBR	First Trust NASDAQ Cybersecurity ETF	Internet Architecture
FDN	First Trust Dow Jones Internet Index Fund	Internet
IXN	iShares Global Tech ETF	Broad Technology
IGM	iShares Expanded Tech Sector ETF	Broad Technology
XT	iShares Exponential Technologies ETF	Broad Technology
RSPT	Invesco S&P 500 Equal Weight Technology ETF	Broad Technology
QTEC	First Trust NASDAQ-100 Technology Sector Index Fund	Broad Technology
SKYY	First Trust Cloud Computing ETF	Software
TECL	Direxion Daily Technology Bull 3X Shares	Broad Technology
FNGU	MicroSectors FANG+â„¢ Index 3X Leveraged ETN	Broad Technology
TDIV	First Trust NASDAQ Technology Dividend Index Fund	Broad Technology
HACK	ETFMG Prime Cyber Security ETFMG Prime Cyber Security Fund	Software
ARKW	ARK Next Generation Internet ETF	Internet
XSD	SPDR S&P Semiconductor ETF	Semiconductors